,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
184000,92472,ISR,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles,
185000,92985,FRA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",
186000,93516,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,
187000,94003,FRA,1992 Winter,1992,Winter,Albertville,Figure Skating,Figure Skating Men's Singles,
188000,94442,AUS,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,
189000,94940,POL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
190000,95428,ESP,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,
191000,95923,BLR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,
192000,96406,FIN,1964 Winter,1964,Winter,Innsbruck,Biathlon,Biathlon Men's 20 kilometres,
193000,96902,CAN,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,
194000,97388,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,Bronze
195000,97861,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,
196000,98416,CAN,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Bronze
197000,98894,FIN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Javelin Throw,
198000,99410,SCG,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,
199000,99948,FRA,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
200000,100449,ISV,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Free Pistol, 50 metres",
201000,100965,PUR,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Men's Doubles,
202000,101455,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,
203000,101948,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Bronze
204000,102423,BEL,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,
205000,102931,FRA,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,
206000,103410,ESP,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",
207000,103888,KAZ,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Triple Jump,
208000,104405,FRA,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",
209000,104923,GER,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
210000,105426,GBR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 5,000 metres",
211000,105956,CAN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Team",
212000,106433,ITA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,
213000,106960,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
214000,107459,FRG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
215000,107927,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",
216000,108424,ROU,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,
217000,108980,FRA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,
218000,109503,URS,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",
219000,110000,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,
220000,110513,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
221000,111027,IND,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,
222000,111574,YUG,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,
223000,112002,NED,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
224000,112509,AUT,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,
225000,113040,ITA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",
226000,113566,DEN,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Team",Silver
227000,114070,EGY,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
228000,114527,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
229000,114977,NRU,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,
230000,115465,USA,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,
231000,115928,NZL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 100 metres,
232000,116394,AFG,1936 Summer,1936,Summer,Berlin,Hockey,Hockey Men's Hockey,
233000,116876,NOR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Silver
234000,117363,POL,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Mountainbike, Cross-Country",
235000,117845,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 12 metres,Gold
236000,118331,JPN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
237000,118843,TUR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,
238000,119349,TCH,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Points Race,
239000,119817,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,
240000,120267,TPE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Pentathlon,
241000,120715,ITA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Silver
242000,121214,HUN,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Dueling Pistol, 30 metres",
243000,121695,ITA,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,
244000,122193,GRE,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Middleweight,
245000,122686,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's High Jump,
246000,123185,HUN,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",Silver
247000,123674,SVK,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",
248000,124158,BEL,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
249000,124656,NED,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
250000,125207,URS,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
251000,125720,PER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,
252000,126199,RUS,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,
253000,126681,USA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,
254000,127184,RUS,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
255000,127645,ARU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
256000,128186,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
257000,128685,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver
258000,129196,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,
